Barri;Metres_Quadrats;Num_Habitacions;Num_Lavabos;Preu;Tipus_Immoble
Sant Andreu;59;3;1;687 _;Piso
Esquerra Alta de lïEixample;170;4;3;2.147 _;Piso
Putget - Farr¢;67;2;1;800 _;Piso
G•tic;61;;1;1.200 _;Piso
Esquerra Alta de lïEixample;66;;1;975 _;Piso
Sant Gervasi - Bonanova;135;3;2;1.900 _;Piso
Guinard¢;262;4;4;2.700 _;Torre
Navas;50;;1;800 _;Piso
Esquerra Alta de lïEixample;70;2;1;1.075 _;Piso
Raval;47;;1;700 _;Piso
St. Pere - Sta. Caterina - El Born;181;3;4;3.000 _;Piso
St. Pere - Sta. Caterina - El Born;76;2;1;975 _;Piso
Navas;102;3;2;1.100 _;Piso
Dreta de lïEixample;100;2;2;2.300 _;Piso
G•tic;70;3;1;905 _;Piso
Guinard¢;70;2;1;890 _;Piso
Sant Gervasi - Bonanova;200;4;3;3.500 _;Apartamento
Esquerra Alta de lïEixample;150;3;2;1.550 _;Apartamento
Sarri…;57;;1;1.529 _;Piso
Poble Sec;50;;1;700 _;Piso
Guinard¢;90;3;1;790 _;Piso
Diagonal Mar - La Mar Bella;45;;2;1.100 _;Apartamento
G•tic;88;3;2;1.200 _;Piso
St. Pere - Sta. Caterina - El Born;60;;1;1.090 _;D£plex
G•tic;95;3;2;1.123 _;Piso
Esquerra Baixa de lïEixample;98;4;1;1.250 _;Piso
Tres Torres;150;3;2;2.950 _;Piso
Sagrada Fam¡lia;54;;1;1.050 _;Piso
Bes•s - Maresme;117;3;2;2.000 _;Piso
Sarri…;124;4;2;3.651 _;Piso
Barceloneta;86;2;2;1.225 _;Piso
Raval;130;4;2;1.700 _;Piso
St. Pere - Sta. Caterina - El Born;181;3;4;3.000 _;Piso
Sant Mart¡;58;3;1;925 _;Piso
St. Pere - Sta. Caterina - El Born;80;2;2;1.150 _;Piso
Camp dïen Grassot - Gr…cia N.;116;3;3;2.333 _;Piso
Dreta de lïEixample;172;5;2;2.300 _;Piso
Dreta de lïEixample;70;2;1;1.600 _;Piso
Sagrada Fam¡lia;65;2;1;950 _;Piso
Camp dïen Grassot - Gr…cia N.;68;3;1;1.400 _;Piso
Sant Gervasi - Galvany;280;5;4;5.500 _;µtico
G•tic;120;4;2;1.150 _;Piso
La Marina-Montju‹c;100;3;2;1.390 _;Piso
St. Pere - Sta. Caterina - El Born;64;2;1;800 _;Piso
St. Pere - Sta. Caterina - El Born;39;;1;625 _;Piso
Vallcarca - Penitents;69;2;2;1.200 _;Piso
Barceloneta;47;2;1;750 _;Piso
Sant Gervasi - Galvany;336;5;6;8.500 _;µtico
Sant Gervasi - Galvany;247;4;3;3.250 _;Piso
Sant Gervasi - Galvany;253;5;4;3.550 _;Piso
Putget - Farr¢;134;4;1;1.200 _;Piso
Les Corts;30;;1;690 _;Estudio
Guinard¢;60;2;1;725 _;Piso
G•tic;60;;2;900 _;Piso
Pedralbes;140;4;2;2.700 _;Apartamento
Esquerra Alta de lïEixample;120;3;2;1.300 _;µtico
Sarri…;340;4;3;9.500 _;Casa
Esquerra Alta de lïEixample;67;2;1;950 _;Piso
Horta;76;2;1;900 _;Piso
Putget - Farr¢;177;5;3;1.900 _;Piso
Vila de Gr…cia;85;2;2;1.000 _;Piso
Raval;40;;2;700 _;Piso
Esquerra Baixa de lïEixample;50;;1;800 _;Piso
La Salut;98;3;2;1.200 _;Piso
Vila de Gr…cia;40;;1;800 _;Piso
Sant Ramon - Maternitat;120;4;2;1.800 _;Piso
Sant Ramon - Maternitat;120;4;2;1.600 _;Piso
Sant Gervasi - Galvany;120;4;2;1.850 _;Piso
Vila de Gr…cia;32;;1;700 _;Apartamento
G•tic;50;;1;750 _;Piso
Esquerra Alta de lïEixample;114;4;2;1.600 _;Piso
Vallvidrera - Tibidabo - Les Planes;300;4;5;2.800 _;Casa
Sant Gervasi - Bonanova;78;3;2;1.300 _;Piso
Sant Gervasi - Bonanova;850;0;;9.950 _;Casa
Sagrada Fam¡lia;70;3;1;900 _;Piso
Camp dïen Grassot - Gr…cia N.;55;2;1;847 _;Piso
G•tic;120;3;2;1.800 _;Piso
Sant Gervasi - Galvany;65;2;1;1.380 _;Piso
Badal;92;3;2;950 _;Piso
G•tic;104;4;2;4.100 _;µtico
La Marina-Montju‹c;87;3;1;1.375 _;µtico
Baix Guinard¢;180;3;2;1.600 _;D£plex
Vila de Gr…cia;80;3;1;1.150 _;Piso
Les Corts;44;2;1;800 _;Piso
