Barri;Metres_Quadrats;Num_Habitacions;Num_Lavabos;Preu;Tipus_Immoble
Fort Pienc;90;3;2;1.150 Û;Piso
Sant Ramon - Maternitat;81;;1;1.150 Û;çtico
Sagrada Fam’lia;45;;1;775 Û;Piso
Les Corts;80;3;1;950 Û;Piso
Les Corts;75;4;1;800 Û;Piso
Congrs - Indians;71;2;1;1.050 Û;Piso
Camp d«en Grassot - Grˆcia N.;90;3;1;995 Û;Piso
Sagrada Fam’lia;83;3;1;1.150 Û;Piso
G˜tic;128;3;2;1.100 Û;Piso
Dreta de l«Eixample;50;2;1;920 Û;Piso
Guinard—;70;3;1;900 Û;Piso
Sant Ramon - Maternitat;100;2;1;1.500 Û;Piso
Esquerra Alta de l«Eixample;98;4;1;1.100 Û;Piso
Sagrada Fam’lia;68;;1;1.100 Û;Piso
Guinard—;87;3;1;1.100 Û;Piso
Raval;80;3;2;875 Û;Piso
La Bordeta;150;4;2;2.100 Û;Piso
St. Pere - Sta. Caterina - El Born;50;;1;795 Û;Piso
Esquerra Alta de l«Eixample;68;2;1;890 Û;Piso
Esquerra Baixa de l«Eixample;120;4;2;1.400 Û;Piso
Sant Gervasi - Galvany;260;4;4;5.400 Û;çtico
Fort Pienc;130;4;2;1.295 Û;Piso
Les Corts;110;3;2;1.750 Û;Piso
Dreta de l«Eixample;100;2;2;1.155 Û;Piso
Sants;100;3;2;1.010 Û;Piso
Sarriˆ;92;2;2;1.970 Û;Piso
Sant Gervasi - Galvany;140;4;2;2.200 Û;Piso
Sant Gervasi - Galvany;280;4;4;4.900 Û;Piso
Camp d«en Grassot - Grˆcia N.;65;3;1;800 Û;Piso
Raval;80;3;2;1.200 Û;Piso
Sant Andreu;37;;1;650 Û;Piso
Raval;80;3;2;800 Û;Piso
Vila de Grˆcia;100;;1;1.300 Û;Loft
Dreta de l«Eixample;45;;1;940 Û;Loft
Dreta de l«Eixample;45;;1;940 Û;Loft
Dreta de l«Eixample;72;3;1;950 Û;Piso
G˜tic;78;2;1;1.100 Û;Piso
Sarriˆ;200;4;4;3.900 Û;Piso
Diagonal Mar - La Mar Bella;153;3;3;6.500 Û;çtico
Sagrada Fam’lia;85;3;1;1.200 Û;Piso
Poble Sec;65;3;1;850 Û;Piso
Sagrada Fam’lia;80;4;1;1.150 Û;Piso
Dreta de l«Eixample;40;;1;950 Û;Apartamento
Les Corts;92;3;1;1.200 Û;Piso
Putget - Farr—;100;3;2;1.300 Û;Piso
Putget - Farr—;50;;1;950 Û;Piso
Esquerra Alta de l«Eixample;136;3;3;2.200 Û;Piso
Poble Sec;74;;1;800 Û;Piso
Sant Gervasi - Galvany;46;;1;950 Û;Piso
St. Pere - Sta. Caterina - El Born;38;;1;590 Û;Piso
Raval;97;;1;975 Û;Loft
Putget - Farr—;65;;1;990 Û;Loft
Dreta de l«Eixample;147;3;2;1.800 Û;Piso
Dreta de l«Eixample;88;2;1;1.534 Û;Piso
La Bordeta;85;3;1;990 Û;Piso
Camp de l«Arpa;45;;1;750 Û;Piso
Sants;66;4;1;875 Û;Piso
Sant Antoni;42;;1;900 Û;Apartamento
Raval;35;;1;790 Û;Loft
St. Pere - Sta. Caterina - El Born;50;;1;695 Û;Piso
Sants;65;3;1;800 Û;Piso
Dreta de l«Eixample;150;3;2;2.800 Û;Piso
Sant Gervasi - Galvany;75;2;2;1.800 Û;çtico
Baix Guinard—;91;2;1;1.000 Û;Piso
Sant Gervasi - Galvany;139;4;2;1.750 Û;Piso
St. Pere - Sta. Caterina - El Born;85;3;2;1.350 Û;Piso
Sant Gervasi - Galvany;160;4;2;1.800 Û;Piso
Camp de l«Arpa;91;4;2;1.250 Û;Piso
Raval;100;2;;2.600 Û;Apartamento
Vila de Grˆcia;75;4;1;1.000 Û;Piso
Camp d«en Grassot - Grˆcia N.;80;3;1;1.990 Û;çtico
Dreta de l«Eixample;80;2;1;1.070 Û;Piso
St. Pere - Sta. Caterina - El Born;70;;1;950 Û;Apartamento
Sant Antoni;94;3;2;1.350 Û;Piso
Sant Ramon - Maternitat;80;4;2;1.450 Û;Piso
Esquerra Baixa de l«Eixample;100;3;2;1.250 Û;Piso
Vila de Grˆcia;76;2;1;1.200 Û;Piso
Dreta de l«Eixample;180;3;2;2.700 Û;Piso
Badal;50;2;1;800 Û;Piso
Sant Gervasi - Galvany;285;5;5;5.300 Û;Piso
Sant Andreu;159;2;2;1.200 Û;çtico
Raval;100;;2;900 Û;Piso
Dreta de l«Eixample;75;;1;1.290 Û;Piso
St. Pere - Sta. Caterina - El Born;95;2;1;1.160 Û;Piso
Hostafrancs;55;;1;1.200 Û;çtico
Sant Andreu;70;2;1;800 Û;Piso
St. Pere - Sta. Caterina - El Born;70;2;1;975 Û;Piso
Hostafrancs;98;3;2;1.100 Û;Piso
Dreta de l«Eixample;100;2;2;3.000 Û;Piso
Dreta de l«Eixample;77;3;2;1.350 Û;Piso
Bes˜s - Maresme;100;3;2;2.400 Û;Apartamento
Camp de l«Arpa;90;3;2;1.000 Û;Piso
Diagonal Mar - La Mar Bella;79;2;1;1.225 Û;Piso
St. Pere - Sta. Caterina - El Born;60;;1;890 Û;Apartamento
Dreta de l«Eixample;140;3;2;1.800 Û;Piso
Poble Sec;70;3;1;860 Û;Piso
Poble Sec;50;2;1;930 Û;Piso
La Salut;40;;1;695 Û;çtico
Baix Guinard—;55;;1;650 Û;Piso
Vila de Grˆcia;50;2;1;1.000 Û;Piso
La Salut;78;3;1;790 Û;Piso
Sagrada Fam’lia;89;3;1;1.085 Û;Piso
Dreta de l«Eixample;206;4;4;2.250 Û;Piso
Poble Sec;44;2;1;900 Û;Piso
Raval;63;2;2;890 Û;Piso
Sant Gervasi - Galvany;180;5;3;3.700 Û;Piso
Sant Ramon - Maternitat;83;3;2;1.200 Û;Piso
Tres Torres;30;;1;880 Û;Piso
Sant Antoni;91;3;2;1.275 Û;Piso
St. Pere - Sta. Caterina - El Born;40;;1;700 Û;Loft
Dreta de l«Eixample;90;2;2;1.050 Û;Apartamento
Sagrada Fam’lia;80;4;1;870 Û;Piso
Putget - Farr—;97;3;2;1.550 Û;Piso
Dreta de l«Eixample;123;3;2;1.700 Û;Piso
Esquerra Alta de l«Eixample;66;2;1;1.000 Û;Piso
Tres Torres;120;3;2;1.600 Û;Piso
Sant Gervasi - Galvany;120;3;2;1.800 Û;Piso
Dreta de l«Eixample;340;6;3;2.500 Û;Piso
G˜tic;76;2;1;1.200 Û;Piso
Les Corts;55;2;1;750 Û;Piso
Sant Ramon - Maternitat;95;4;2;1.200 Û;Piso
Barceloneta;34;;1;800 Û;Piso
Dreta de l«Eixample;55;;1;750 Û;Apartamento
Sant Gervasi - Galvany;176;3;;1.700 Û;Piso
Sant Gervasi - Galvany;65;2;2;1.410 Û;Piso
Vila de Grˆcia;80;3;1;950 Û;Piso
Dreta de l«Eixample;310;6;4;4.900 Û;Piso
Dreta de l«Eixample;168;3;3;1.950 Û;Piso
Dreta de l«Eixample;93;3;2;2.550 Û;Apartamento
Sant Gervasi - Galvany;75;;2;1.600 Û;Apartamento
Carmel;68;2;1;750 Û;Piso
Gl˜ries El Parc;65;2;1;1.150 Û;Piso
La Sagrera;79;3;2;1.350 Û;çtico
Sant Gervasi - Galvany;60;;1;1.600 Û;Piso
St. Pere - Sta. Caterina - El Born;55;;1;800 Û;Piso
Raval;40;;1;690 Û;Piso
Vila de Grˆcia;35;;1;550 Û;Piso
Sant Gervasi - Galvany;84;3;2;1.150 Û;Piso
Dreta de l«Eixample;137;4;1;1.250 Û;Piso
Les Corts;113;3;2;1.675 Û;Piso
Esquerra Baixa de l«Eixample;89;3;2;1.300 Û;Piso
G˜tic;125;3;3;1.600 Û;Piso
Dreta de l«Eixample;87;3;2;1.800 Û;Piso
Dreta de l«Eixample;94;3;2;1.900 Û;Piso
Montbau;75;3;1;900 Û;Piso
Barceloneta;39;;1;700 Û;Piso
Vallcarca - Penitents;73;3;2;1.200 Û;Piso
Sant Gervasi - Galvany;60;2;1;1.100 Û;Piso
Sarriˆ;411;5;3;4.500 Û;Casa
Taxonera;45;2;1;670 Û;Piso
G˜tic;90;2;1;1.200 Û;Piso
Raval;120;3;3;1.750 Û;Apartamento
Putget - Farr—;137;3;2;1.800 Û;Piso
Sant Antoni;70;4;1;1.300 Û;Piso
Putget - Farr—;65;2;1;1.100 Û;Piso
Barceloneta;33;;1;790 Û;Apartamento
Sant Antoni;100;3;2;1.600 Û;Piso
Esquerra Alta de l«Eixample;39;;1;710 Û;Piso
Vila de Grˆcia;75;3;1;950 Û;Piso
Pedralbes;191;4;3;2.600 Û;Piso
Sant Gervasi - Bonanova;125;3;3;1.700 Û;Piso
Camp d«en Grassot - Grˆcia N.;97;3;2;995 Û;Piso
Vila de Grˆcia;75;2;2;1.350 Û;Piso
Vila de Grˆcia;65;2;1;950 Û;Piso
Sant Antoni;124;5;3;2.400 Û;Apartamento
Sant Gervasi - Galvany;560;8;7;9.000 Û;Casa
Poble Sec;85;3;2;1.300 Û;Piso
El Clot;51;2;1;875 Û;Piso
Esquerra Alta de l«Eixample;55;;1;950 Û;Piso
Diagonal Mar - La Mar Bella;75;2;2;1.500 Û;Piso
Esquerra Alta de l«Eixample;98;4;1;1.200 Û;Piso
Camp d«en Grassot - Grˆcia N.;68;3;2;825 Û;Piso
Sant Andreu;75;2;2;1.200 Û;Piso
Esquerra Alta de l«Eixample;78;4;1;1.100 Û;Piso
Fort Pienc;80;3;1;1.050 Û;Piso
Vila de Grˆcia;60;2;1;1.400 Û;Apartamento
Vila de Grˆcia;75;2;2;1.350 Û;Piso
Sant Gervasi - Galvany;110;2;1;1.550 Û;Piso
Camp d«en Grassot - Grˆcia N.;78;3;2;1.195 Û;Piso
Dreta de l«Eixample;170;4;2;3.700 Û;Piso
Guinard—;100;4;2;1.100 Û;Piso
Sant Antoni;130;4;2;1.450 Û;Piso
Esquerra Alta de l«Eixample;95;3;2;1.300 Û;Piso
Vila de Grˆcia;70;4;1;1.150 Û;Piso
Esquerra Baixa de l«Eixample;70;3;1;1.150 Û;Piso
La Sagrera;65;2;1;785 Û;Piso
Raval;40;2;1;895 Û;Piso
Raval;76;3;2;950 Û;Piso
Esquerra Alta de l«Eixample;66;2;1;927 Û;Piso
Baix Guinard—;45;2;1;900 Û;çtico
Camp d«en Grassot - Grˆcia N.;86;3;1;1.000 Û;Piso
Esquerra Alta de l«Eixample;80;3;1;1.000 Û;Piso
Putget - Farr—;50;;1;950 Û;Piso
Dreta de l«Eixample;75;2;2;1.200 Û;Piso
Putget - Farr—;100;3;2;1.350 Û;Piso
Esquerra Alta de l«Eixample;90;4;2;1.000 Û;Piso
Putget - Farr—;50;;1;950 Û;Piso
Putget - Farr—;64;;1;850 Û;Piso
Dreta de l«Eixample;77;3;2;980 Û;Piso
Dreta de l«Eixample;77;3;2;980 Û;Piso
Putget - Farr—;83;3;2;1.150 Û;Planta
Can Bar—;105;3;2;1.200 Û;Piso
Les Corts;50;;1;840 Û;Piso
Esquerra Baixa de l«Eixample;60;2;1;1.000 Û;Piso
St. Pere - Sta. Caterina - El Born;50;;1;1.050 Û;Piso
Tres Torres;80;2;2;1.600 Û;Piso
Sant Gervasi - Galvany;110;4;3;2.500 Û;Apartamento
Poble Sec;51;2;1;795 Û;Piso
Dreta de l«Eixample;54;;1;900 Û;Piso
Font de la Guatlla;90;3;2;1.000 Û;Piso
Dreta de l«Eixample;36;;1;950 Û;Estudio
Horta;81;4;1;870 Û;Piso
Les Corts;60;3;1;1.050 Û;Piso
Esquerra Alta de l«Eixample;75;2;2;1.100 Û;Piso
Sagrada Fam’lia;65;2;2;1.200 Û;Piso
Esquerra Alta de l«Eixample;88;2;1;1.280 Û;Piso
Esquerra Baixa de l«Eixample;58;2;1;875 Û;Piso
La Marina-Montju•c;82;3;2;1.076 Û;Piso
Baix Guinard—;72;2;1;999 Û;Piso
Esquerra Alta de l«Eixample;85;4;1;1.100 Û;Piso
Esquerra Alta de l«Eixample;50;;1;1.100 Û;Piso
Dreta de l«Eixample;103;4;2;1.200 Û;Piso
Provenals del Poblenou;50;;1;725 Û;Piso
Carmel;70;2;1;730 Û;Piso
Pedralbes;163;5;3;2.500 Û;Piso
Sant Ramon - Maternitat;95;3;2;1.500 Û;Piso
Sant Gervasi - Bonanova;111;3;2;1.500 Û;Piso
Barceloneta;40;;1;725 Û;Piso
Bes˜s - Maresme;105;3;2;1.750 Û;Piso
Esquerra Baixa de l«Eixample;60;;1;800 Û;Piso
Sagrada Fam’lia;65;2;1;910 Û;Piso
Camp d«en Grassot - Grˆcia N.;68;3;1;1.025 Û;Apartamento
Putget - Farr—;60;2;1;1.350 Û;Piso
Poblenou;80;3;1;1.350 Û;Piso
St. Pere - Sta. Caterina - El Born;70;2;2;950 Û;Piso
Esquerra Alta de l«Eixample;100;2;2;1.460 Û;Piso
Poblenou;92;2;2;1.450 Û;Piso
Raval;82;2;2;1.600 Û;Apartamento
Font de la Guatlla;81;3;1;1.060 Û;Piso
Camp d«en Grassot - Grˆcia N.;70;2;1;1.100 Û;Piso
Putget - Farr—;73;2;1;900 Û;Piso
Sant Gervasi - Galvany;84;3;2;1.150 Û;Piso
Dreta de l«Eixample;75;2;2;1.200 Û;Piso
Esquerra Alta de l«Eixample;44;;1;800 Û;Piso
Sant Gen’s dels Agudells;75;3;;1.100 Û;Apartamento
Sarriˆ;154;4;3;2.275 Û;Piso
Sant Ramon - Maternitat;75;3;2;1.000 Û;Piso
Sagrada Fam’lia;85;4;1;1.000 Û;Piso
Sagrada Fam’lia;60;2;1;1.170 Û;Piso
Dreta de l«Eixample;268;4;4;12.500 Û;Apartamento
St. Pere - Sta. Caterina - El Born;65;;1;800 Û;Loft
Fort Pienc;110;4;2;1.200 Û;Piso
Badal;60;2;1;931 Û;Piso
Esquerra Baixa de l«Eixample;146;5;2;1.400 Û;Piso
Camp d«en Grassot - Grˆcia N.;65;2;1;800 Û;Piso
G˜tic;50;;1;1.500 Û;çtico
G˜tic;45;;1;770 Û;Piso
Sant Gervasi - Bonanova;84;4;1;1.050 Û;Piso
Esquerra Baixa de l«Eixample;90;2;2;1.650 Û;Piso
Sant Gervasi - Galvany;108;3;2;1.190 Û;Piso
Sagrada Fam’lia;80;4;2;950 Û;Piso
Pedralbes;106;3;1;1.400 Û;Piso
Sant Gervasi - Galvany;80;;1;1.200 Û;Planta
Sarriˆ;650;6;5;8.500 Û;Casa
Vila de Grˆcia;80;;1;1.275 Û;Piso
St. Pere - Sta. Caterina - El Born;51;;1;700 Û;Piso
Sarriˆ;100;3;2;1.450 Û;Piso
Sant Gervasi - Bonanova;100;3;1;1.450 Û;Piso
Sant Gervasi - Galvany;108;2;2;1.800 Û;Piso
Esquerra Alta de l«Eixample;155;5;3;1.800 Û;Piso
Gl˜ries El Parc;58;3;1;850 Û;Piso
Sagrada Fam’lia;76;3;1;1.100 Û;Dœplex
Dreta de l«Eixample;90;4;2;1.150 Û;Apartamento
Raval;80;;2;775 Û;Estudio
Gl˜ries El Parc;58;3;1;850 Û;Piso
Dreta de l«Eixample;140;3;2;2.950 Û;Piso
Raval;48;;1;720 Û;Piso
G˜tic;72;2;1;925 Û;Piso
Putget - Farr—;110;4;2;1.350 Û;Piso
Sagrada Fam’lia;70;2;2;1.360 Û;Piso
La Bordeta;120;3;1;1.000 Û;Piso
Putget - Farr—;63;2;1;925 Û;Piso
Vallcarca - Penitents;95;4;2;1.450 Û;Piso
Les Corts;77;4;2;990 Û;Piso
Putget - Farr—;55;;1;950 Û;Piso
G˜tic;40;;1;1.100 Û;çtico
Raval;67;2;1;800 Û;Piso
Sarriˆ;83;2;1;1.275 Û;Piso
Sant Antoni;61;;1;925 Û;Piso
Sant Gervasi - Galvany;70;3;1;950 Û;Piso
St. Pere - Sta. Caterina - El Born;53;;1;750 Û;Piso
Esquerra Alta de l«Eixample;65;3;1;1.100 Û;Piso
Putget - Farr—;98;3;2;1.000 Û;Piso
Poblenou;75;3;1;890 Û;Piso
Vila de Grˆcia;86;2;2;1.300 Û;Piso
St. Pere - Sta. Caterina - El Born;116;3;2;1.190 Û;Piso
Dreta de l«Eixample;132;3;3;2.250 Û;Piso
Putget - Farr—;60;2;1;858 Û;Piso
Sagrada Fam’lia;97;4;2;1.400 Û;Piso
Poble Sec;72;;1;1.000 Û;Piso
Sant Antoni;133;5;3;2.400 Û;Apartamento
Les Corts;60;;1;990 Û;Piso
Poblenou;45;2;1;775 Û;Piso
Poble Sec;59;;1;950 Û;Piso
St. Pere - Sta. Caterina - El Born;160;3;2;1.750 Û;Piso
Raval;45;2;1;750 Û;Piso
G˜tic;39;;1;725 Û;Estudio
St. Pere - Sta. Caterina - El Born;75;3;1;1.300 Û;Piso
Esquerra Alta de l«Eixample;150;2;2;2.100 Û;çtico
St. Pere - Sta. Caterina - El Born;70;3;2;1.275 Û;Piso
Sant Antoni;80;4;2;1.275 Û;Piso
El Coll;130;3;2;1.300 Û;Apartamento
G˜tic;80;3;1;1.100 Û;Piso
Dreta de l«Eixample;206;5;3;3.155 Û;Piso
Esquerra Alta de l«Eixample;50;;1;1.100 Û;Piso
Esquerra Alta de l«Eixample;50;2;1;1.200 Û;Piso
Vila de Grˆcia;87;3;1;1.096 Û;Piso
Poblenou;64;3;1;800 Û;Piso
Horta;81;3;1;870 Û;Piso
Esquerra Baixa de l«Eixample;95;3;1;950 Û;Piso
Sant Gervasi - Galvany;103;3;2;1.300 Û;Piso
Badal;96;4;2;1.145 Û;Piso
Raval;47;2;1;750 Û;Piso
G˜tic;81;;1;990 Û;çtico
Camp d«en Grassot - Grˆcia N.;72;2;2;1.500 Û;Piso
Fort Pienc;95;4;2;1.200 Û;Piso
Dreta de l«Eixample;60;2;2;950 Û;Apartamento
Sant Gervasi - Bonanova;478;7;3;11.500 Û;Casa
Esquerra Baixa de l«Eixample;95;3;2;1.150 Û;Piso
Sant Antoni;71;3;1;925 Û;Piso
Fort Pienc;93;3;2;1.600 Û;Piso
Sant Gervasi - Bonanova;764;0;3;9.950 Û;Casa
Poblenou;64;3;1;800 Û;Piso
St. Pere - Sta. Caterina - El Born;100;2;2;1.250 Û;Piso
Raval;40;;1;790 Û;Piso
St. Pere - Sta. Caterina - El Born;120;3;2;1.550 Û;Piso
Guinard—;75;3;;750 Û;Piso
Poblenou;57;2;2;1.300 Û;Piso
Dreta de l«Eixample;105;3;2;1.400 Û;Piso
Poblenou;70;3;;990 Û;Apartamento
Putget - Farr—;41;;1;950 Û;çtico
Dreta de l«Eixample;140;3;2;2.400 Û;Apartamento
G˜tic;85;3;2;1.200 Û;Apartamento
Dreta de l«Eixample;163;5;2;1.900 Û;Piso
Sant Ramon - Maternitat;145;3;3;1.900 Û;Piso
Les Corts;91;4;3;1.300 Û;Piso
Vila de Grˆcia;90;2;2;1.350 Û;Piso
Barceloneta;47;2;1;750 Û;Piso
Pedralbes;95;3;2;1.350 Û;Piso
La Marina-Montju•c;95;3;2;1.150 Û;Apartamento
Pedralbes;95;3;2;1.350 Û;Piso
Sant Gervasi - Bonanova;100;3;1;1.350 Û;Piso
Camp d«en Grassot - Grˆcia N.;45;;1;730 Û;Piso
Camp de l«Arpa;140;3;2;1.550 Û;Apartamento
Les Corts;77;2;2;1.450 Û;Dœplex
Esquerra Alta de l«Eixample;125;3;2;1.750 Û;Piso
Poble Sec;82;3;1;890 Û;Piso
St. Pere - Sta. Caterina - El Born;130;4;2;1.900 Û;Apartamento
Esquerra Alta de l«Eixample;50;2;1;800 Û;Piso
Camp de l«Arpa;60;2;1;850 Û;Piso
Esquerra Alta de l«Eixample;70;2;1;1.150 Û;Piso
Les Corts;95;4;2;1.450 Û;Piso
Les Corts;200;4;3;2.100 Û;Apartamento
Vilapicina - Torre Llobeta;23;;1;600 Û;Estudio
Vilapicina - Torre Llobeta;23;;1;600 Û;Estudio
Camp de l«Arpa;75;3;1;975 Û;Piso
Esquerra Alta de l«Eixample;82;4;2;1.180 Û;Piso
Dreta de l«Eixample;45;2;1;900 Û;Apartamento
Barceloneta;35;2;1;800 Û;Piso
Dreta de l«Eixample;142;4;2;2.460 Û;Piso
Sant Gervasi - Bonanova;50;;1;980 Û;Piso
Sarriˆ;480;3;4;7.000 Û;Casa
Esquerra Alta de l«Eixample;120;3;2;1.600 Û;Piso
Sant Gervasi - Bonanova;49;;1;725 Û;Piso
Sant Gervasi - Galvany;95;3;1;1.100 Û;Piso
Raval;36;;1;560 Û;Piso
Sant Gervasi - Galvany;59;3;2;990 Û;Piso
Camp de l«Arpa;112;3;2;1.050 Û;Piso
Sant Gervasi - Galvany;80;3;2;1.250 Û;Piso
Esquerra Alta de l«Eixample;80;2;1;1.245 Û;Piso
Camp de l«Arpa;100;4;2;1.300 Û;Piso
Raval;45;;1;740 Û;Apartamento
Taxonera;70;3;1;640 Û;Piso
Camp d«en Grassot - Grˆcia N.;68;3;1;850 Û;Piso
Esquerra Baixa de l«Eixample;80;3;2;1.100 Û;Piso
Pedralbes;100;;1;850 Û;çtico
Sants;65;2;2;1.400 Û;Apartamento
Dreta de l«Eixample;189;3;4;10.000 Û;Apartamento
Sant Gervasi - Bonanova;131;3;3;1.600 Û;Apartamento
Sant Gervasi - Galvany;186;5;3;1.900 Û;Piso
Esquerra Alta de l«Eixample;146;5;3;1.700 Û;Piso
Fort Pienc;45;2;1;1.500 Û;Piso
Esquerra Alta de l«Eixample;130;3;2;1.950 Û;Piso
G˜tic;85;2;1;830 Û;Piso
Esquerra Baixa de l«Eixample;124;4;2;1.450 Û;Piso
Sants;55;;1;850 Û;Estudio
Esquerra Baixa de l«Eixample;85;3;2;1.200 Û;Piso
Esquerra Baixa de l«Eixample;60;2;1;1.600 Û;Apartamento
Dreta de l«Eixample;80;;1;1.400 Û;Apartamento
Carmel;42;;1;815 Û;çtico
Sagrada Fam’lia;57;3;1;950 Û;Piso
Sant Ramon - Maternitat;40;;1;800 Û;Piso
Esquerra Alta de l«Eixample;77;3;1;1.100 Û;Piso
Raval;91;3;2;850 Û;Piso
Sagrada Fam’lia;80;3;1;1.050 Û;Piso
Sagrada Fam’lia;130;4;2;1.450 Û;Piso
Raval;64;;1;800 Û;Piso
Gl˜ries El Parc;194;3;3;2.800 Û;Piso
Sant Andreu;82;2;1;857 Û;Piso
Diagonal Mar - La Mar Bella;80;3;2;1.450 Û;Piso
Putget - Farr—;130;3;3;1.700 Û;Piso
Poblenou;65;2;1;890 Û;Apartamento
Esquerra Alta de l«Eixample;116;3;2;1.750 Û;Piso
Esquerra Baixa de l«Eixample;145;4;2;1.650 Û;Piso
Sant Antoni;62;3;1;900 Û;Piso
Sagrada Fam’lia;95;4;2;1.350 Û;Piso
Dreta de l«Eixample;180;4;3;5.500 Û;Piso
Raval;42;;1;800 Û;Piso
Poblenou;48;2;1;900 Û;Piso
G˜tic;90;2;2;725 Û;Dœplex
Sant Gervasi - Bonanova;80;2;1;3.200 Û;Apartamento
La Sagrera;72;3;1;895 Û;Piso
Diagonal Mar - La Mar Bella;135;2;1;1.200 Û;Piso
Camp de l«Arpa;55;2;1;980 Û;Apartamento
Esquerra Alta de l«Eixample;64;2;1;995 Û;Piso
Putget - Farr—;57;3;1;900 Û;Piso
Tres Torres;50;;1;1.100 Û;Piso
Camp de l«Arpa;50;2;1;800 Û;Piso
Dreta de l«Eixample;133;4;2;2.495 Û;Piso
Vila de Grˆcia;152;5;2;1.950 Û;Piso
Sant Gervasi - Bonanova;60;;1;850 Û;Piso
Vallcarca - Penitents;45;;1;895 Û;Piso
Tres Torres;200;4;4;2.900 Û;Piso
Sant Ramon - Maternitat;100;4;2;1.500 Û;Piso
G˜tic;55;2;1;1.100 Û;Piso
St. Pere - Sta. Caterina - El Born;70;;1;1.500 Û;Piso
Vallcarca - Penitents;95;3;2;1.000 Û;Piso
Esquerra Alta de l«Eixample;65;2;1;950 Û;Piso
Raval;62;2;1;900 Û;Piso
Dreta de l«Eixample;80;2;1;1.195 Û;Apartamento
Sant Gervasi - Galvany;400;4;5;8.500 Û;Piso
St. Pere - Sta. Caterina - El Born;96;;1;1.150 Û;Loft
Sagrada Fam’lia;70;;1;950 Û;Planta
Sant Gervasi - Bonanova;67;;1;2.500 Û;Apartamento
Putget - Farr—;70;2;1;900 Û;Piso
Putget - Farr—;93;3;2;1.050 Û;Piso
Sant Gervasi - Galvany;140;3;3;1.850 Û;Piso
Vila de Grˆcia;66;2;1;900 Û;Piso
Taxonera;62;3;1;800 Û;Piso
Poble Sec;100;4;1;1.275 Û;Piso
Dreta de l«Eixample;66;2;1;1.321 Û;Apartamento
Dreta de l«Eixample;120;4;2;2.500 Û;Apartamento
Dreta de l«Eixample;100;4;2;1.100 Û;Piso
Dreta de l«Eixample;319;5;4;4.900 Û;Piso
Sant Gervasi - Galvany;65;;1;930 Û;Piso
Sants;98;3;2;1.200 Û;Apartamento
Les Corts;62;;1;1.400 Û;Piso
Sant Gervasi - Galvany;170;6;2;2.100 Û;Piso
Esquerra Alta de l«Eixample;74;3;1;1.000 Û;Piso
G˜tic;120;2;2;1.100 Û;Piso
Esquerra Baixa de l«Eixample;97;3;2;1.200 Û;Piso
Dreta de l«Eixample;100;2;2;1.600 Û;Piso
St. Pere - Sta. Caterina - El Born;85;2;2;1.175 Û;Piso
Raval;107;3;2;1.750 Û;Piso
Barceloneta;74;3;1;1.500 Û;Piso
Gl˜ries El Parc;92;3;2;1.000 Û;Piso
Vila de Grˆcia;65;3;1;950 Û;Piso
Fort Pienc;120;4;2;1.750 Û;Piso
Dreta de l«Eixample;45;;1;1.200 Û;çtico
El Clot;63;3;1;790 Û;Piso
Vila de Grˆcia;181;4;5;3.600 Û;Dœplex
Pedralbes;60;;1;1.300 Û;Apartamento
Sarriˆ;200;4;3;4.400 Û;Piso
Sarriˆ;85;3;2;1.365 Û;Piso
Vila de Grˆcia;70;3;1;1.175 Û;Piso
Esquerra Alta de l«Eixample;70;3;1;935 Û;Piso
Sant Gervasi - Bonanova;725;;;11.500 Û;Torre
Esquerra Baixa de l«Eixample;89;4;2;1.200 Û;Piso
Raval;36;;1;590 Û;Piso
Sant Gervasi - Galvany;75;2;2;1.050 Û;Piso
Esquerra Baixa de l«Eixample;70;3;1;950 Û;Piso
Putget - Farr—;87;2;1;1.100 Û;Piso
Sants;91;3;1;1.100 Û;Piso
St. Pere - Sta. Caterina - El Born;78;3;1;1.000 Û;Piso
El Clot;90;4;2;1.130 Û;Piso
Raval;75;2;1;800 Û;Piso
Esquerra Baixa de l«Eixample;65;;1;1.100 Û;Piso
Dreta de l«Eixample;140;3;3;2.400 Û;Piso
Carmel;55;2;1;890 Û;Piso
G˜tic;61;;1;700 Û;Piso
G˜tic;120;2;2;1.100 Û;Piso
Sant Antoni;60;2;1;950 Û;Piso
Esquerra Alta de l«Eixample;95;3;2;1.235 Û;Piso
Esquerra Alta de l«Eixample;87;4;1;1.100 Û;Piso
Dreta de l«Eixample;135;5;2;1.700 Û;Piso
Sant Gervasi - Galvany;50;2;1;925 Û;Piso
Vallcarca - Penitents;125;3;2;1.550 Û;çtico
Guinard—;90;2;1;1.290 Û;çtico
Guinard—;65;3;1;850 Û;Piso
Dreta de l«Eixample;73;2;1;1.700 Û;Apartamento
Putget - Farr—;35;;1;775 Û;Apartamento
Sant Andreu;60;2;1;725 Û;Piso
Font de la Guatlla;80;4;1;850 Û;Piso
Esquerra Baixa de l«Eixample;90;4;2;1.170 Û;Piso
Esquerra Baixa de l«Eixample;100;4;2;1.000 Û;Piso
Vila de Grˆcia;72;3;1;990 Û;Piso
Sant Gervasi - Galvany;96;2;2;1.200 Û;Piso
G˜tic;137;3;2;1.500 Û;Piso
Esquerra Alta de l«Eixample;69;2;1;1.200 Û;Piso
Putget - Farr—;43;;1;800 Û;Piso
